Quarter,Time,Down,ToGo,Location,SEA,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Jason Myers kicks off 67 yards, returned by Jaelon Darden for 18 yards (tackle by Nick Bellore)",0.000,-0.140
1,14:56,1,10,TAM 16,0,0,Rachaad White up the middle for no gain (tackle by Poona Ford and Bruce Irvin),-0.140,-0.660
1,14:21,2,10,TAM 16,0,0,Tom Brady pass incomplete short right intended for Chris Godwin,-0.660,-1.320
1,14:18,3,10,TAM 16,0,0,Tom Brady pass incomplete deep left intended for Julio Jones,-1.320,-2.390
1,14:13,4,10,TAM 16,0,0,Jake Camarda punts 59 yards out of bounds,-2.390,-0.610
1,14:02,1,10,SEA 25,0,0,Geno Smith pass complete short left to D.K. Metcalf for 10 yards (tackle by Jamel Dean),0.610,1.270
1,13:44,1,10,SEA 35,0,0,Kenneth Walker right end for 4 yards (tackle by Devin White),1.270,1.260
1,13:09,2,6,SEA 39,0,0,Kenneth Walker left tackle for 1 yard (tackle by Mike Edwards),1.260,0.700
1,12:20,3,5,SEA 40,0,0,"Penalty on SEA: Delay of Game, 5 yards (accepted) (no play)",0.700,0.040
1,12:00,,,,,,Timeout #1 by Seattle Seahawks,,
1,12:00,3,10,SEA 35,0,0,Geno Smith sacked by Joe Tryon-Shoyinka for -17 yards,0.040,-2.240
1,11:12,4,27,SEA 18,0,0,"Michael Dickson punts 41 yards, fair catch by Jaelon Darden at TB-41",-2.240,-1.660
1,11:05,1,10,TAM 41,0,0,Tom Brady pass complete deep left to Mike Evans for 29 yards (tackle by Quandre Diggs),1.660,3.580
1,10:38,1,10,SEA 30,0,0,"Leonard Fournette left guard for 2 yards (tackle by Tariq Woolen). Penalty on Nick Leverett: Offensive Holding, 10 yards (accepted)",3.580,3.050
1,10:10,1,18,SEA 38,0,0,Leonard Fournette right guard for 3 yards (tackle by Quandre Diggs),3.050,2.360
1,9:40,2,15,SEA 35,0,0,Tom Brady pass complete short left to Leonard Fournette for 1 yard (tackle by Cody Barton),2.360,1.820
1,9:04,3,14,SEA 34,0,0,Tom Brady pass incomplete short middle intended for Chris Godwin,1.820,1.060
1,8:58,4,14,SEA 34,0,0,Ryan Succop 52 yard field goal no good,1.060,-1.730
1,8:53,1,10,SEA 42,0,0,Geno Smith pass complete short middle to Kenneth Walker for 2 yards (tackle by Carlton Davis),1.730,1.460
1,8:15,2,8,SEA 44,0,0,Geno Smith pass complete short left to D.K. Metcalf for 14 yards (tackle by Mike Edwards),1.460,2.720
1,7:48,1,10,TAM 43,0,0,Kenneth Walker left tackle for 1 yard (tackle by Akiem Hicks),2.720,2.450
1,7:11,2,8,TAM 41,0,0,"Kenneth Walker right end for no gain (tackle by Devin White). Penalty on Damien Lewis: Unsportsmanlike Conduct / Offense, 13 yards (accepted)",2.450,0.040
1,6:35,3,21,SEA 46,0,0,Geno Smith pass complete short right to Noah Fant for 15 yards (tackle by Devin White),0.040,0.660
1,5:36,4,6,TAM 39,0,0,"Penalty on SEA: Delay of Game, 5 yards (accepted) (no play)",0.660,0.330
1,5:23,4,11,TAM 44,0,0,Michael Dickson punts 32 yards downed by Penny Hart,0.330,0.350
1,5:12,1,10,TAM 12,0,0,Rachaad White right tackle for 3 yards (tackle by Michael Jackson and Jordyn Brooks),-0.350,-0.500
1,4:40,2,7,TAM 15,0,0,Rachaad White right guard for 10 yards (tackle by Ryan Neal),-0.500,0.610
1,4:03,1,10,TAM 25,0,0,Rachaad White right guard for 4 yards (tackle by Al Woods and Darrell Taylor),0.610,0.600
1,3:29,2,6,TAM 29,0,0,Tom Brady pass complete short left to Chris Godwin for 5 yards (tackle by Cody Barton),0.600,0.560
1,2:46,3,1,TAM 34,0,0,Rachaad White right tackle for 8 yards (tackle by Jordyn Brooks and Quandre Diggs),0.560,1.730
1,2:03,1,10,TAM 42,0,0,Tom Brady pass complete short left to Cade Otton for 2 yards (tackle by Bruce Irvin),1.730,1.460
1,1:27,2,8,TAM 44,0,0,Leonard Fournette up the middle for 6 yards (tackle by Jordyn Brooks),1.460,1.550
1,0:50,3,2,TAM 50,0,0,Leonard Fournette right guard for 7 yards (tackle by Quandre Diggs),1.550,2.720
1,0:12,1,10,SEA 43,0,0,Rachaad White up the middle for 1 yard (tackle by Quinton Jefferson),2.720,2.310
Quarter,Time,Down,ToGo,Location,SEA,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,SEA 42,0,0,Tom Brady pass complete short right to Mike Evans for 11 yards (tackle by Quandre Diggs),2.310,3.510
2,14:28,1,10,SEA 31,0,0,Tom Brady pass incomplete short middle intended for Cameron Brate (defended by Jordyn Brooks),3.510,2.970
2,14:24,2,10,SEA 31,0,0,Rachaad White left end for no gain (tackle by Cody Barton),2.970,2.280
2,13:48,3,10,SEA 31,0,6,"Tom Brady pass complete short right to Julio Jones for 31 yards, touchdown",2.280,7.000
2,13:40,,,SEA 15,0,7,Ryan Succop kicks extra point good,0.000,0.000
2,13:40,,,TAM 35,0,7,"Jake Camarda kicks off 55 yards, returned by D'Wayne Eskridge for 17 yards (tackle by Olakunle Fatukasi)",0.000,0.740
2,13:36,1,10,SEA 27,0,7,Kenneth Walker left tackle for 1 yard (tackle by Jamel Dean and Carl Nassib),0.740,0.330
2,13:05,2,9,SEA 28,0,7,Geno Smith scrambles left end for 7 yards (tackle by Antoine Winfield),0.330,0.560
2,12:21,3,2,SEA 35,0,7,Geno Smith pass incomplete short right intended for Tyler Lockett,0.560,-1.040
2,12:13,4,2,SEA 35,0,7,"Michael Dickson punts 51 yards, fair catch by Jaelon Darden at TB-14",-1.040,0.280
2,12:05,1,10,TAM 14,0,7,Leonard Fournette up the middle for 4 yards (tackle by Quinton Jefferson and Cody Barton),-0.280,-0.210
2,11:31,2,6,TAM 18,0,7,Tom Brady pass complete short left to Mike Evans for 4 yards (tackle by Tariq Woolen),-0.210,-0.440
2,10:50,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
2,10:50,3,2,TAM 22,0,7,Tom Brady pass complete short left to Mike Evans for 5 yards (tackle by Coby Bryant),-0.440,0.740
2,10:12,1,10,TAM 27,0,7,Leonard Fournette up the middle for 2 yards (tackle by Jordyn Brooks),0.740,0.470
2,9:36,2,8,TAM 29,0,7,"Tom Brady pass incomplete intended for Scott Miller. Penalty on Michael Jackson: Defensive Pass Interference, 3 yards (accepted) (no play)",0.470,1.070
2,9:31,1,10,TAM 32,0,7,Leonard Fournette left guard for 2 yards (tackle by Jordyn Brooks),1.070,0.800
2,8:52,2,8,TAM 34,0,7,Leonard Fournette left end for 10 yards (tackle by Ryan Neal),0.800,1.860
2,8:14,1,10,TAM 44,0,7,Leonard Fournette up the middle for 3 yards (tackle by Bruce Irvin),1.860,1.720
2,7:39,2,7,TAM 47,0,7,Leonard Fournette right guard for 4 yards (tackle by Cody Barton and Jordyn Brooks),1.720,1.550
2,7:03,3,3,SEA 49,0,7,Tom Brady pass complete short left to Scott Miller for 3 yards (tackle by Coby Bryant),1.550,2.520
2,6:21,1,10,SEA 46,0,7,Tom Brady pass complete deep middle to Chris Godwin for 19 yards (tackle by Quandre Diggs),2.520,3.780
2,5:40,1,10,SEA 27,0,7,Tom Brady pass complete deep middle to Scott Miller for 22 yards (tackle by Michael Jackson),3.780,6.060
2,4:59,1,5,SEA 5,0,7,Leonard Fournette right tackle for 4 yards (tackle by Boye Mafe),6.060,5.910
2,4:33,2,1,SEA 1,0,13,"Leonard Fournette right guard for 1 yard, touchdown",5.910,7.000
2,4:31,,,SEA 15,0,14,Ryan Succop kicks extra point good,0.000,0.000
2,4:31,,,TAM 35,0,14,"Jake Camarda kicks off 65 yards, returned by D'Wayne Eskridge for 21 yards (tackle by Olakunle Fatukasi)",0.000,0.340
2,4:27,1,10,SEA 21,0,14,Geno Smith pass complete short left to D.K. Metcalf for 9 yards (tackle by Joe Tryon-Shoyinka),0.340,1.020
2,3:54,2,1,SEA 30,0,14,Kenneth Walker left guard for 3 yards (tackle by Mike Edwards),1.020,1.140
2,3:16,1,10,SEA 33,0,14,Geno Smith pass incomplete short middle intended for Kenneth Walker,1.140,0.590
2,3:12,2,10,SEA 33,0,14,Geno Smith pass incomplete short left intended for Kenneth Walker,0.590,-0.100
2,3:07,3,10,SEA 33,0,14,Geno Smith pass incomplete short left intended for D.K. Metcalf,-0.100,-1.180
2,3:03,4,10,SEA 33,0,14,"Penalty on Joey Blount: False Start, 5 yards (accepted) (no play)",-1.180,-1.500
2,3:03,4,15,SEA 28,0,14,Michael Dickson punts 68 yards out of bounds,-1.500,0.380
2,2:53,1,10,TAM 4,0,14,Rachaad White up the middle for 1 yard (tackle by Al Woods),-0.380,-0.710
2,2:18,2,9,TAM 5,0,14,Rachaad White right guard for 2 yards (tackle by Poona Ford),-0.710,-1.070
2,2:00,3,7,TAM 7,0,14,Tom Brady pass incomplete short left,-1.070,-2.490
2,1:57,4,7,TAM 7,0,14,"Jake Camarda punts 63 yards, fair catch by DeeJay Dallas at SEA-30",-2.490,-0.940
2,1:49,1,10,SEA 30,0,14,Geno Smith sacked by Devin White for -10 yards,0.940,-0.960
2,1:11,2,20,SEA 20,0,14,Geno Smith pass complete deep right to Marquise Goodwin for 19 yards (tackle by Sean Murphy-Bunting),-0.960,0.890
2,0:48,3,1,SEA 39,0,14,Kenneth Walker right guard for -2 yards (tackle by Antoine Winfield),0.890,-0.910
2,0:35,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
2,0:35,4,3,SEA 37,0,14,Michael Dickson punts 61 yards downed by Dareke Young,-0.910,0.380
2,0:28,1,10,TAM 2,0,14,Tom Brady kneels for -1 yards,-0.380,-0.850
2,0:26,,,,,,Timeout #2 by Seattle Seahawks,,
2,0:26,2,11,TAM 1,0,14,Tom Brady kneels for no gain,-0.850,-1.540
2,0:23,,,,,,Timeout #3 by Seattle Seahawks,,
2,0:23,3,11,TAM 1,0,14,Tom Brady kneels for no gain,-1.540,-2.490
Quarter,Time,Down,ToGo,Location,SEA,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,0,14,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,SEA 25,0,14,Geno Smith pass complete short right to Will Dissly for 13 yards (tackle by Sean Murphy-Bunting),0.610,1.470
3,14:26,1,10,SEA 38,0,14,Geno Smith pass complete short middle to Will Dissly for 15 yards (tackle by Antoine Winfield and Lavonte David),1.470,2.460
3,13:55,1,10,TAM 47,0,14,Geno Smith pass complete short left to D.K. Metcalf for 12 yards (tackle by Jamel Dean),2.460,3.250
3,13:28,1,10,TAM 35,0,14,Geno Smith pass complete short right to Tyler Lockett for 11 yards (tackle by Carlton Davis),3.250,3.970
3,13:03,1,10,TAM 24,0,14,Geno Smith scrambles right end for 2 yards (tackle by Akiem Hicks),3.970,3.630
3,12:20,2,9,TAM 22,0,14,Geno Smith pass incomplete short left intended for Colby Parkinson,3.630,2.940
3,12:14,3,9,TAM 22,0,14,Geno Smith pass incomplete deep left intended for D.K. Metcalf (defended by Jamel Dean),2.940,1.990
3,12:10,4,9,TAM 22,0,14,"Penalty on D.K. Metcalf: Unsportsmanlike Conduct / Offense, 15 yards (accepted) (no play)",1.990,0.790
3,12:10,4,24,TAM 37,3,14,Jason Myers 55 yard field goal good,0.790,3.000
3,12:05,,,SEA 35,3,14,"Jason Myers kicks off 58 yards, returned by Rachaad White for 22 yards (tackle by Travis Homer)",0.000,0.870
3,12:00,1,10,TAM 29,3,14,Rachaad White left tackle for 2 yards (tackle by Shelby Harris),0.870,0.600
3,11:19,2,8,TAM 31,3,14,Tom Brady pass complete short right to Mike Evans for 5 yards (tackle by Michael Jackson),0.600,0.560
3,10:38,3,3,TAM 36,3,14,Tom Brady pass complete short right to Julio Jones for 5 yards (tackle by Michael Jackson),0.560,1.660
3,10:08,1,10,TAM 41,3,14,Leonard Fournette right end for 2 yards (tackle by Jordyn Brooks),1.660,1.390
3,9:27,2,8,TAM 43,3,14,Leonard Fournette right guard for 7 yards (tackle by Coby Bryant and Ryan Neal),1.390,1.620
3,8:47,3,1,TAM 50,3,14,Rachaad White left end for 2 yards (tackle by Jordyn Brooks),1.620,2.390
3,8:07,1,10,SEA 48,3,14,Tom Brady pass complete short left to Cade Otton for 8 yards (tackle by Cody Barton),2.390,2.930
3,7:20,2,2,SEA 40,3,14,Tom Brady pass complete short left to Chris Godwin for 18 yards (tackle by Tariq Woolen),2.930,4.110
3,6:39,1,10,SEA 22,3,14,"Leonard Fournette pass intended for Tom Brady is intercepted by Tariq Woolen at SEA-6 and returned for no gain (tackle by Tom Brady). Penalty on Tom Brady: Tripping / Offense, 10 yards (accepted)",4.110,0.140
3,6:33,1,10,SEA 16,3,14,"Geno Smith scrambles right end for 4 yards (tackle by Akiem Hicks and Devin White). Penalty on Akiem Hicks: Unnecessary Roughness / Defense, 15 yards (accepted)",-0.140,1.270
3,6:03,1,10,SEA 35,3,14,Geno Smith pass complete short right to Noah Fant for 11 yards (tackle by Antoine Winfield and Lavonte David),1.270,1.990
3,5:34,1,10,SEA 46,3,14,Geno Smith pass complete short right to D.K. Metcalf for 10 yards (tackle by Carlton Davis),1.990,2.650
3,5:07,1,10,TAM 44,3,14,Geno Smith pass complete short left to Kenneth Walker for 6 yards (tackle by Mike Edwards),2.650,2.920
3,4:39,2,4,TAM 38,3,14,Geno Smith pass complete deep left to D.K. Metcalf for 16 yards (tackle by Jamel Dean),2.920,4.110
3,4:23,1,10,TAM 22,3,14,Kenneth Walker left guard for 4 yards (tackle by Devin White and Lavonte David),4.110,4.130
3,3:50,2,6,TAM 18,3,14,Geno Smith pass complete short left to Kenneth Walker for 4 yards (tackle by Lavonte David),4.130,4.150
3,3:09,3,2,TAM 14,3,14,Kenneth Walker left guard for 5 yards (tackle by Lavonte David),4.150,5.140
3,2:40,1,9,TAM 9,3,14,Geno Smith pass incomplete short left intended for D.K. Metcalf,5.140,4.380
3,2:36,2,9,TAM 9,3,14,"Geno Smith sacked by Devin White for -4 yards. Geno Smith fumbles (forced by Devin White), recovered by Anthony Nelson at TB-13",4.380,0.320
3,2:29,1,10,TAM 13,3,14,Rachaad White right guard for 7 yards (tackle by Ryan Neal),-0.320,0.220
3,1:48,2,3,TAM 20,3,14,Rachaad White left end for -4 yards (tackle by Jordyn Brooks),0.220,-1.060
3,1:05,3,7,TAM 16,3,14,Tom Brady pass complete short right to Chris Godwin for 12 yards (tackle by Jordyn Brooks and Coby Bryant),-1.060,0.810
3,0:24,1,10,TAM 28,3,14,Rachaad White left guard for 29 yards (tackle by Cody Barton),0.810,2.720
Quarter,Time,Down,ToGo,Location,SEA,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SEA 43,3,14,Rachaad White up the middle for 2 yards (tackle by Myles Adams and Jordyn Brooks),2.720,2.450
4,14:26,2,8,SEA 41,3,14,Tom Brady pass complete deep left to Cade Otton for 25 yards (tackle by Quandre Diggs),2.450,4.510
4,13:44,1,10,SEA 16,3,14,Rachaad White up the middle for 1 yard (tackle by Shelby Harris),4.510,4.050
4,13:02,2,9,SEA 15,3,14,Tom Brady pass complete short left to Cameron Brate for 8 yards (tackle by Cody Barton),4.050,4.850
4,12:13,3,1,SEA 7,3,14,Rachaad White left guard for 3 yards (tackle by Jordyn Brooks),4.850,6.280
4,11:30,1,4,SEA 4,3,14,Rachaad White right guard for no gain (tackle by Uchenna Nwosu and Jordyn Brooks),6.280,5.340
4,10:53,2,4,SEA 4,3,20,"Tom Brady pass complete short left to Chris Godwin for 4 yards, touchdown",5.340,7.000
4,10:48,,,SEA 15,3,21,Ryan Succop kicks extra point good,0.000,0.000
4,10:48,,,TAM 35,3,21,"Jake Camarda kicks off 64 yards, returned by DeeJay Dallas for 22 yards (tackle by Olakunle Fatukasi and Ulysees Gilbert)",0.000,0.480
4,10:43,1,10,SEA 23,3,21,Geno Smith pass complete short left to Kenneth Walker for 23 yards (tackle by Jamel Dean),0.480,1.990
4,10:14,1,10,SEA 46,3,21,"Geno Smith pass incomplete intended for Will Dissly. Penalty on Akiem Hicks: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",1.990,2.320
4,10:11,1,10,TAM 49,3,21,Geno Smith pass complete short right to Kenneth Walker for 13 yards (tackle by Carlton Davis),2.320,3.180
4,9:36,1,10,TAM 36,3,21,Geno Smith pass complete short left to Kenneth Walker for 7 yards (tackle by Devin White),3.180,3.580
4,8:59,2,3,TAM 29,3,21,Geno Smith pass complete short middle to Noah Fant for 8 yards (tackle by Devin White and Antoine Winfield),3.580,4.170
4,8:24,1,10,TAM 21,9,21,"Geno Smith pass complete deep middle to Tyler Lockett for 21 yards, touchdown",4.170,7.000
4,8:20,,,TAM 2,9,21,Two Point Attempt: Geno Smith pass incomplete,1.000,-1.000
4,8:20,,,SEA 35,9,21,"Jason Myers kicks off 66 yards, returned by Jaelon Darden for 24 yards (tackle by Justin Coleman)",0.000,0.480
4,8:14,1,10,TAM 23,9,21,Ke'Shawn Vaughn left guard for no gain (tackle by Cody Barton),0.480,-0.070
4,7:40,2,10,TAM 23,9,21,Tom Brady pass incomplete deep middle intended for Julio Jones (defended by Michael Jackson),-0.070,-0.760
4,7:36,3,10,TAM 23,9,21,Tom Brady pass complete short left to Ke'Shawn Vaughn for 11 yards (tackle by Jordyn Brooks),-0.760,1.200
4,7:07,1,10,TAM 34,9,21,Ke'Shawn Vaughn right guard for 2 yards (tackle by Al Woods),1.200,0.930
4,6:33,2,8,TAM 36,9,21,Tom Brady pass short middle intended for Mike Evans is intercepted by Cody Barton at TB-46 and returned for 1 yard (tackle by Julio Jones),0.930,-2.590
4,6:24,1,10,TAM 45,9,21,Geno Smith pass incomplete short right intended for Tyler Lockett,2.590,2.040
4,6:19,2,10,TAM 45,9,21,Geno Smith pass complete short right to Colby Parkinson for 7 yards (tackle by Sean Murphy-Bunting and Lavonte David),2.040,2.280
4,5:49,3,3,TAM 38,9,21,Geno Smith pass incomplete short left intended for Colby Parkinson,2.280,0.720
4,5:43,4,3,TAM 38,9,21,Geno Smith pass complete short left to Tyler Lockett for 10 yards (tackle by Jamel Dean),0.720,3.710
4,5:09,1,10,TAM 28,9,21,Geno Smith scrambles right tackle for 9 yards (tackle by Lavonte David),3.710,4.420
4,4:45,2,1,TAM 19,9,21,Geno Smith pass incomplete deep right intended for Noah Fant,4.420,3.720
4,4:40,3,1,TAM 19,9,21,Kenneth Walker right guard for no gain (tackle by Anthony Nelson and Akiem Hicks),3.720,2.340
4,4:04,4,1,TAM 19,15,21,"Geno Smith pass complete deep left to Marquise Goodwin for 19 yards, touchdown",2.340,7.000
4,3:58,,,TAM 15,16,21,Jason Myers kicks extra point good,0.000,0.000
4,3:58,,,SEA 35,16,21,"Jason Myers kicks off 56 yards, returned by Rachaad White for 8 yards (tackle by Joey Blount)",0.000,-0.060
4,3:55,1,10,TAM 17,16,21,Rachaad White left guard for 1 yard (tackle by Al Woods and Shelby Harris),-0.060,-0.420
4,3:13,2,9,TAM 18,16,21,Tom Brady pass complete short middle to Chris Godwin for 13 yards (tackle by Coby Bryant),-0.420,1.000
4,2:35,1,10,TAM 31,16,21,Rachaad White left guard for 3 yards (tackle by Bruce Irvin),1.000,0.870
4,2:25,,,,,,Timeout #1 by Seattle Seahawks,,
4,2:25,2,7,TAM 34,16,21,Rachaad White up the middle for 12 yards (tackle by Ryan Neal),0.870,1.990
4,2:18,,,,,,Timeout #2 by Seattle Seahawks,,
4,2:18,1,10,TAM 46,16,21,Tom Brady pass complete short middle to Julio Jones for 17 yards (tackle by Jordyn Brooks and Ryan Neal),1.990,3.120
4,2:00,1,10,SEA 37,16,21,Rachaad White right tackle for 18 yards (tackle by Jordyn Brooks),3.120,4.310
4,1:42,,,,,,Timeout #3 by Seattle Seahawks,,
4,1:42,1,10,SEA 19,16,21,Tom Brady kneels for no gain,4.310,3.750
4,1:01,2,10,SEA 19,16,21,Tom Brady kneels for -1 yards,3.750,2.940
4,0:36,3,11,SEA 20,16,21,Tom Brady kneels for -1 yards,2.940,2.060
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
