Quarter,Time,Down,ToGo,Location,ATL,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Bradley Pinion kicks off 67 yards, returned by Greg Dortch for 22 yards (tackle by DeMarcco Hellams and DeAngelo Malone)",0.000,0.280
1,14:52,1,10,ARI 20,0,0,Kyler Murray pass incomplete short left intended for Marquise Brown,0.280,-0.270
1,14:49,2,10,ARI 20,0,0,James Conner up the middle for 1 yard (tackle by Kentavius Street),-0.270,-0.820
1,14:13,3,9,ARI 21,0,0,Kyler Murray pass incomplete short right,-0.820,-1.960
1,14:05,4,9,ARI 21,0,0,"Blake Gillikin punts 49 yards, returned by Bijan Robinson for 8 yards (tackle by Antonio Hamilton)",-1.960,-1.470
1,13:55,1,10,ATL 38,0,0,Bijan Robinson right end for 3 yards (tackle by Jalen Thompson),1.470,1.330
1,13:21,2,7,ATL 41,0,0,Bijan Robinson left tackle for 3 yards (tackle by Kevin Strong),1.330,1.020
1,12:48,3,4,ATL 44,0,0,Taylor Heinicke pass incomplete short left intended for Kyle Pitts,1.020,-0.460
1,12:43,4,4,ATL 44,0,0,Bradley Pinion punts 52 yards out of bounds,-0.460,0.380
1,12:36,1,10,ARI 4,0,0,Kyler Murray pass complete short left to Trey McBride for 6 yards (tackle by Kaden Elliss),-0.380,-0.340
1,12:00,2,4,ARI 10,0,0,James Conner left end for 11 yards (tackle by Richie Grant),-0.340,0.340
1,11:25,1,10,ARI 21,0,0,James Conner right tackle for 1 yard (tackle by Ta'Quon Graham and Jessie Bates),0.340,-0.070
1,10:46,2,9,ARI 22,0,0,Kyler Murray pass incomplete short left intended for Zach Pascal (defended by AJ Terrell),-0.070,-0.760
1,10:41,3,9,ARI 22,0,0,Kyler Murray pass complete short middle to Rondale Moore for 8 yards (tackle by Jessie Bates),-0.760,-1.370
1,10:05,4,1,ARI 30,0,0,James Conner right end for 4 yards (tackle by Jessie Bates),-1.370,1.200
1,9:27,1,10,ARI 34,0,0,Kyler Murray pass complete short middle to Geoff Swaim for 6 yards (tackle by Jessie Bates),1.200,1.470
1,8:47,2,4,ARI 40,0,0,Kyler Murray pass complete short left to Trey McBride for 9 yards (tackle by Richie Grant),1.470,2.190
1,7:57,1,10,ARI 49,0,0,"Penalty on ARI: Delay of Game, 5 yards (accepted) (no play)",2.190,1.860
1,7:41,1,15,ARI 44,0,0,James Conner up the middle for 3 yards (tackle by Nathan Landman and Mike Hughes),1.860,1.380
1,7:00,2,12,ARI 47,0,0,"Kyler Murray pass complete deep right to Trey McBride for 19 yards (tackle by Richie Grant). Penalty on Richie Grant: Defensive Pass Interference, 15 yards (declined)",1.380,3.310
1,6:32,1,10,ATL 34,0,0,Kyler Murray pass complete short right to Michael Wilson for 16 yards (tackle by Richie Grant),3.310,4.370
1,5:46,1,10,ATL 18,0,0,"Penalty on Hjalte Froholdt: False Start, 5 yards (accepted) (no play)",4.370,4.040
1,5:32,1,15,ATL 23,0,0,Kyler Murray pass incomplete deep left intended for Michael Wilson (defended by AJ Terrell),4.040,3.150
1,5:28,2,15,ATL 23,0,0,"Kyler Murray scrambles left end for no gain (tackle by Jessie Bates). Penalty on Hjalte Froholdt: Offensive Holding, 10 yards (accepted) (no play)",3.150,1.800
1,5:00,2,25,ATL 33,0,0,Kyler Murray pass incomplete short middle intended for Michael Wilson (defended by Timmy Horne),1.800,1.160
1,4:55,3,25,ATL 33,0,0,Kyler Murray pass incomplete short left intended for Marquise Brown (defended by Kentavius Street),1.160,1.150
1,4:53,4,25,ATL 33,0,3,Matt Prater 51 yard field goal good,1.150,3.000
1,4:48,,,ARI 35,0,3,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
1,4:48,1,10,ATL 25,0,3,Taylor Heinicke pass complete short right to Kyle Pitts for 8 yards (tackle by Marco Wilson),0.610,1.140
1,4:12,2,2,ATL 33,0,3,Tyler Allgeier up the middle for 7 yards (tackle by Budda Baker and Josh Woods),1.140,1.600
1,3:33,1,10,ATL 40,0,3,Taylor Heinicke pass incomplete short left intended for Bijan Robinson (defended by Dennis Gardeck),1.600,1.050
1,3:26,2,10,ATL 40,0,3,Cordarrelle Patterson left tackle for 2 yards (tackle by Kyzir White),1.050,0.630
1,2:46,3,8,ATL 42,0,3,"Taylor Heinicke pass incomplete short right intended for Cordarrelle Patterson (defended by Budda Baker). Penalty on Dennis Gardeck: Roughing the Passer, 15 yards (accepted) (no play)",0.630,2.720
1,2:42,1,10,ARI 43,0,3,Bijan Robinson left tackle for 3 yards (tackle by Josh Woods and Dante Stills),2.720,2.580
1,2:09,2,7,ARI 40,0,3,Bijan Robinson up the middle for 17 yards (tackle by BJ Ojulari),2.580,4.040
1,1:30,1,10,ARI 23,0,3,Tyler Allgeier right end for 8 yards (tackle by Jalen Thompson and Budda Baker),4.040,4.750
1,0:57,2,2,ARI 15,0,3,Tyler Allgeier right end for -1 yards (tackle by Kevin Strong and Jalen Thompson),4.750,3.850
1,0:07,3,3,ARI 16,0,3,Bijan Robinson left tackle for 10 yards (tackle by Kyzir White),3.850,5.830
Quarter,Time,Down,ToGo,Location,ATL,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,6,ARI 6,0,3,"Bijan Robinson right tackle for no gain (tackle by Budda Baker). Penalty on MyCole Pruitt: Offensive Holding, 10 yards (accepted) (no play)",5.830,4.310
2,14:44,1,16,ARI 16,0,3,Bijan Robinson up the middle for 3 yards (tackle by Kevin Strong and Kyzir White),4.310,3.720
2,14:10,2,13,ARI 13,0,3,Taylor Heinicke scrambles right end for 11 yards (tackle by Budda Baker),3.720,4.950
2,13:33,3,2,ARI 2,6,3,"Taylor Heinicke pass complete short left to Scott Miller for 2 yards, touchdown",4.950,7.000
2,13:27,,,ARI 15,7,3,Younghoe Koo kicks extra point good,0.000,0.000
2,13:27,,,ATL 35,7,3,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
2,13:27,1,10,ARI 25,7,3,Kyler Murray pass complete short left to Trey McBride for 28 yards (tackle by Jessie Bates),0.610,2.460
2,12:45,1,10,ATL 47,7,3,Keaontay Ingram left end for no gain (tackle by Nathan Landman),2.460,1.840
2,12:04,2,11,ATL 47,7,3,"Kyler Murray pass incomplete short middle intended for Marquise Brown. Penalty on Clark Phillips: Defensive Pass Interference, 13 yards (accepted) (no play)",1.840,3.310
2,11:59,1,10,ATL 34,7,3,Kyler Murray pass complete short left to Michael Wilson for 4 yards (tackle by Kaden Elliss),3.310,3.310
2,11:23,2,6,ATL 30,7,3,Keaontay Ingram up the middle for 2 yards (tackle by Nathan Landman and Jessie Bates),3.310,2.870
2,10:43,3,4,ATL 28,7,3,Kyler Murray pass incomplete deep right intended for Marquise Brown,2.870,1.650
2,10:37,4,4,ATL 28,7,6,Matt Prater 46 yard field goal good,1.650,3.000
2,10:32,,,ARI 35,7,6,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
2,10:32,1,10,ATL 25,7,6,Taylor Heinicke pass complete short right to Cordarrelle Patterson for 2 yards (tackle by Roy Lopez),0.610,0.330
2,9:56,2,8,ATL 27,7,6,Cordarrelle Patterson up the middle for 6 yards (tackle by Josh Woods and Starling Thomas),0.330,0.430
2,9:21,3,2,ATL 33,7,6,Cordarrelle Patterson up the middle for 5 yards (tackle by Jonathan Ledbetter),0.430,1.470
2,8:45,1,10,ATL 38,7,6,Taylor Heinicke pass complete short left to Bijan Robinson for 11 yards (tackle by Budda Baker),1.470,2.190
2,8:01,1,10,ATL 49,7,6,Bijan Robinson up the middle for 3 yards (tackle by Budda Baker and BJ Ojulari),2.190,2.050
2,7:25,2,7,ARI 48,7,6,Taylor Heinicke pass complete short left to Drake London for 7 yards (tackle by Starling Thomas),2.050,2.850
2,6:40,1,10,ARI 41,7,6,Tyler Allgeier right tackle for 5 yards (tackle by Kyzir White and Budda Baker),2.850,2.980
2,6:02,2,5,ARI 36,7,6,Tyler Allgeier right tackle for 2 yards (tackle by Zaven Collins and Kevin Strong),2.980,2.480
2,5:27,3,4,ARI 34,7,6,"Taylor Heinicke pass incomplete deep right intended for Jonnu Smith. Penalty on Starling Thomas: Illegal Contact, 5 yards (accepted) (no play)",2.480,3.640
2,5:22,1,10,ARI 29,7,6,"Bijan Robinson left end for 3 yards (tackle by Dante Stills and BJ Ojulari). Penalty on Roy Lopez: Defensive Holding, 5 yards (accepted)",3.640,4.170
2,5:00,1,10,ARI 21,7,6,Taylor Heinicke pass incomplete short right,4.170,3.630
2,4:56,2,10,ARI 21,7,6,Taylor Heinicke pass incomplete short right,3.630,2.940
2,4:50,3,10,ARI 21,7,6,Taylor Heinicke scrambles up the middle for 16 yards (tackle by Budda Baker),2.940,6.060
2,4:12,1,5,ARI 5,13,6,"Bijan Robinson up the middle for 5 yards, touchdown",6.060,7.000
2,4:07,,,ARI 15,14,6,Younghoe Koo kicks extra point good,0.000,0.000
2,4:07,,,ATL 35,14,6,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
2,4:07,1,10,ARI 25,14,6,James Conner up the middle for 6 yards (tackle by Kaden Elliss),0.610,0.870
2,3:32,2,4,ARI 31,14,6,Kyler Murray pass complete short right to Rondale Moore for 12 yards (tackle by Kaden Elliss and Nathan Landman),0.870,1.800
2,2:46,1,10,ARI 43,14,6,Kyler Murray pass complete deep right to Marquise Brown for 28 yards (tackle by Jessie Bates),1.800,3.640
2,2:07,1,10,ATL 29,14,6,James Conner right end for 9 yards (tackle by Richie Grant),3.640,4.320
2,2:00,2,1,ATL 20,14,6,James Conner up the middle for no gain (tackle by Albert Huggins),4.320,3.600
2,1:42,3,1,ATL 20,14,6,James Conner up the middle for 5 yards (tackle by Bud Dupree and Kaden Elliss),3.600,4.580
2,1:05,1,10,ATL 15,14,6,Kyler Murray pass complete short middle to Geoff Swaim for 7 yards (tackle by Kaden Elliss and Richie Grant),4.580,5.220
2,0:22,2,3,ATL 8,14,6,"Penalty on Kyler Murray: False Start, 5 yards (accepted) (no play)",5.220,4.280
2,0:22,,,,,,Timeout #1 by Arizona Cardinals,,
2,0:22,2,8,ATL 13,14,6,Kyler Murray scrambles up the middle for 7 yards (tackle by Kaden Elliss),4.280,4.900
2,0:14,,,,,,Timeout #2 by Arizona Cardinals,,
2,0:14,3,1,ATL 6,14,12,"Kyler Murray scrambles left end for 6 yards, touchdown",4.900,7.000
2,0:10,,,ATL 2,14,12,"Two Point Attempt: Kyler Murray pass incomplete intended for intended for James Conner. Penalty on Michael Wilson: Offensive Pass Interference, 10 yards (declined)",1.000,-1.000
2,0:10,,,ARI 35,14,12,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
2,0:10,1,10,ATL 25,14,12,Taylor Heinicke kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,ATL,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,14,12,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,ATL 25,14,12,Bijan Robinson right tackle for 4 yards (tackle by Zaven Collins),0.610,0.600
3,14:23,2,6,ATL 29,14,12,Taylor Heinicke pass incomplete short right intended for Kyle Pitts (defended by Marco Wilson),0.600,-0.100
3,14:18,3,6,ATL 29,14,12,Taylor Heinicke pass incomplete deep right intended for Jonnu Smith,-0.100,-1.440
3,14:13,4,6,ATL 29,14,12,"Bradley Pinion punts 37 yards out of bounds. Penalty on Owen Pappoe: Offensive Holding, 10 yards (accepted)",-1.440,-0.540
3,14:05,1,10,ARI 24,14,12,Kyler Murray pass complete short right to Rondale Moore for 3 yards (tackle by Nathan Landman),0.540,0.400
3,13:30,2,7,ARI 27,14,12,Kyler Murray pass complete short left to Trey McBride for 11 yards (tackle by AJ Terrell),0.400,1.470
3,12:54,1,10,ARI 38,14,12,James Conner up the middle for 7 yards (tackle by Jessie Bates and Jeff Okudah),1.470,1.870
3,12:18,2,3,ARI 45,14,12,Kyler Murray pass complete short middle to Trey McBride for 10 yards (tackle by Richie Grant),1.870,2.590
3,11:41,1,10,ATL 45,14,12,Kyler Murray pass complete short middle to Trey McBride for 15 yards (tackle by Jessie Bates and Richie Grant),2.590,3.580
3,10:59,1,10,ATL 30,14,12,"Kyler Murray scrambles right end for no gain (tackle by Kaden Elliss). Penalty on Paris Johnson: Offensive Holding, 10 yards (accepted) (no play)",3.580,2.920
3,10:35,1,20,ATL 40,14,12,"Keaontay Ingram right tackle for no gain (tackle by Zach Harrison). Penalty on Carter O'Donnell: Offensive Holding, 10 yards (accepted) (no play)",2.920,2.260
3,10:15,1,30,ATL 50,14,12,Kyler Murray pass incomplete deep left intended for Elijah Higgins,2.260,0.330
3,10:09,2,30,ATL 50,14,12,Kyler Murray pass incomplete deep right intended for Rondale Moore,0.330,-0.290
3,9:58,3,30,ATL 50,14,12,Kyler Murray pass complete short left to Rondale Moore for 12 yards (tackle by AJ Terrell),-0.290,0.720
3,9:21,4,18,ATL 38,14,15,Matt Prater 56 yard field goal good,0.720,3.000
3,9:16,,,ARI 35,14,15,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
3,9:16,1,10,ATL 25,14,15,Bijan Robinson right end for 4 yards (tackle by Dennis Gardeck and Budda Baker),0.610,0.600
3,8:30,2,6,ATL 29,14,15,"Bijan Robinson up the middle for 2 yards (tackle by Jonathan Ledbetter and Budda Baker). Penalty on Kaleb McGary: Offensive Holding, 10 yards (accepted)",0.600,-0.480
3,8:03,2,14,ATL 21,14,15,Taylor Heinicke sacked by BJ Ojulari for -10 yards,-0.480,-3.060
3,7:23,3,24,ATL 11,14,15,Taylor Heinicke pass complete short middle to Kyle Pitts for 17 yards (tackle by Kyzir White),-3.060,-1.500
3,6:52,4,7,ATL 28,14,15,"Bradley Pinion punts 54 yards, returned by Greg Dortch for 7 yards (tackle by Keith Smith)",-1.500,-0.610
3,6:46,1,10,ARI 25,14,15,Kyler Murray pass short middle intended for Trey McBride is intercepted by Nathan Landman at ARI-39 and returned for 25 yards (tackle by Kyler Murray),0.610,-4.650
3,6:35,1,10,ARI 14,14,15,Tyler Allgeier up the middle for 4 yards (tackle by Jonathan Ledbetter and Kyzir White),4.650,4.710
3,6:02,2,6,ARI 10,14,15,Bijan Robinson right tackle for no gain (tackle by Garrett Williams),4.710,3.820
3,5:45,3,6,ARI 10,14,15,"Taylor Heinicke sacked by Dennis Gardeck for -7 yards. Penalty on Jake Matthews: Offensive Holding, 10 yards (declined)",3.820,2.310
3,5:23,4,13,ARI 17,17,15,Younghoe Koo 36 yard field goal good,2.310,3.000
3,5:18,,,ATL 35,17,15,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
3,5:18,1,10,ARI 25,17,15,James Conner up the middle for no gain (tackle by Kaden Elliss and Zach Harrison),0.610,0.060
3,4:41,2,10,ARI 25,17,15,Kyler Murray sacked by Kaden Elliss for -8 yards,0.060,-1.930
3,4:02,3,18,ARI 17,17,15,Tony Jones up the middle for 13 yards (tackle by Jessie Bates),-1.930,-1.370
3,3:26,4,5,ARI 30,17,15,Blake Gillikin punts 54 yards out of bounds,-1.370,0.140
3,3:13,1,10,ATL 16,17,15,Taylor Heinicke pass complete short left to Jonnu Smith for 1 yard (tackle by Dante Stills and BJ Ojulari),-0.140,-0.510
3,2:37,2,9,ATL 17,17,15,Tyler Allgeier up the middle for no gain (tackle by Kyzir White and Zaven Collins),-0.510,-1.200
3,2:02,3,9,ATL 17,17,15,Taylor Heinicke sacked by BJ Ojulari for -7 yards,-1.200,-2.490
3,1:28,4,16,ATL 10,17,15,"Bradley Pinion punts 60 yards, returned by Greg Dortch for 49 yards (tackle by DeMarcco Hellams and Keith Smith)",-2.490,-4.170
3,1:08,1,10,ATL 21,17,15,Kyler Murray scrambles up the middle for 6 yards (tackle by Richie Grant),4.170,4.550
3,0:23,2,4,ATL 15,17,15,"Kyler Murray pass complete short left to Michael Wilson for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Kyler Murray pass complete short left to Michael Wilson for 14 yards (tackle by Kaden Elliss)",4.550,6.970
3,0:21,1,1,ATL 1,17,21,"Clayton Tune up the middle for 1 yard, touchdown. Penalty on Kentavius Street: Defensive Offside, 5 yards (declined)",6.970,7.000
3,0:19,,,ATL 15,17,22,Matt Prater kicks extra point good,0.000,0.000
3,0:19,,,ARI 35,17,22,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
3,0:19,1,10,ATL 25,17,22,Taylor Heinicke pass complete short left to Tyler Allgeier for 7 yards (tackle by Kyzir White),0.610,1.010
Quarter,Time,Down,ToGo,Location,ATL,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,3,ATL 32,17,22,Bijan Robinson right tackle for 3 yards (tackle by Cameron Thomas and Leki Fotu),1.010,1.270
4,14:26,1,10,ATL 35,17,22,Taylor Heinicke pass incomplete deep left intended for Jonnu Smith,1.270,0.720
4,14:19,2,10,ATL 35,17,22,Taylor Heinicke scrambles right end for 8 yards (tackle by Zaven Collins),0.720,1.090
4,13:58,3,2,ATL 43,17,22,Bijan Robinson right end for 1 yard (tackle by Roy Lopez),1.090,-0.460
4,13:20,4,1,ATL 44,17,22,Desmond Ridder up the middle for 2 yards (tackle by Kyzir White),-0.460,1.990
4,12:47,1,10,ATL 46,17,22,"Desmond Ridder right end for no gain (tackle by Kyzir White). Penalty on Jonnu Smith: Offensive Holding, 10 yards (accepted) (no play)",1.990,1.330
4,12:26,1,20,ATL 36,17,22,Desmond Ridder pass complete short right to Kyle Pitts for 5 yards (tackle by Kyzir White),1.330,0.780
4,11:54,2,15,ATL 41,17,22,Desmond Ridder pass complete short right to Drake London for 18 yards (tackle by Marco Wilson),0.780,2.850
4,11:17,1,10,ARI 41,17,22,Bijan Robinson right tackle for 1 yard (tackle by Dennis Gardeck),2.850,2.440
4,10:40,2,9,ARI 40,17,22,Desmond Ridder pass incomplete deep right intended for Drake London,2.440,1.750
4,10:33,3,9,ARI 40,17,22,Bijan Robinson up the middle for 10 yards (tackle by Budda Baker),1.750,3.580
4,9:56,1,10,ARI 30,17,22,Bijan Robinson right tackle for 2 yards (tackle by Zaven Collins),3.580,3.300
4,9:18,2,8,ARI 28,17,22,Desmond Ridder pass complete short left to Cordarrelle Patterson for 5 yards (tackle by BJ Ojulari),3.300,3.270
4,8:43,3,3,ARI 23,17,22,Bijan Robinson right tackle for 2 yards (tackle by Dennis Gardeck and Kevin Strong),3.270,2.210
4,8:02,4,1,ARI 21,17,22,Desmond Ridder up the middle for no gain (tackle by Jonathan Ledbetter),2.210,-0.340
4,7:49,1,10,ARI 21,17,22,James Conner up the middle for 10 yards (tackle by Lorenzo Carter),0.340,1.000
4,7:10,1,10,ARI 31,17,22,James Conner up the middle for 1 yard (tackle by Kaden Elliss and Timmy Horne),1.000,0.600
4,6:30,2,9,ARI 32,17,22,Kyler Murray pass incomplete short middle intended for Rondale Moore (defended by Clark Phillips),0.600,-0.100
4,6:26,3,9,ARI 32,17,22,Kyler Murray sacked by Nathan Landman for -11 yards,-0.100,-1.960
4,5:51,4,20,ARI 21,17,22,"Blake Gillikin punts 53 yards, fair catch by Scott Miller at ATL-26",-1.960,-0.670
4,5:43,1,10,ATL 26,17,22,Bijan Robinson up the middle for 2 yards (tackle by Dennis Gardeck and Roy Lopez),0.670,0.400
4,5:32,2,8,ATL 28,17,22,Desmond Ridder pass incomplete deep middle intended for Van Jefferson,0.400,-0.300
4,5:21,3,8,ATL 28,17,22,Desmond Ridder pass complete short left to Drake London for 11 yards (tackle by Marco Wilson),-0.300,1.530
4,4:57,1,10,ATL 39,17,22,Bijan Robinson right tackle for 14 yards (tackle by Josh Woods),1.530,2.460
4,4:26,1,10,ARI 47,17,22,Bijan Robinson right tackle for no gain (tackle by Roy Lopez),2.460,1.910
4,3:50,2,10,ARI 47,17,22,"Desmond Ridder pass incomplete deep left intended for Drake London. Penalty on Antonio Hamilton: Defensive Pass Interference, 32 yards (accepted) (no play)",1.910,4.580
4,3:43,1,10,ARI 15,17,22,Tyler Allgeier left tackle for 3 yards (tackle by BJ Ojulari and Roy Lopez),4.580,4.450
4,3:03,2,7,ARI 12,17,22,Tyler Allgeier up the middle for 3 yards (tackle by Victor Dimukeje and Kyzir White),4.450,4.220
4,2:39,3,4,ARI 9,23,22,"Desmond Ridder left end for 9 yards, touchdown",4.220,7.000
4,2:33,,,ARI 2,23,22,Two Point Attempt: Desmond Ridder pass incomplete intended for to Drake London for no gain,1.000,-1.000
4,2:33,,,ATL 35,23,22,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
4,2:33,1,10,ARI 25,23,22,Kyler Murray pass complete short middle to Rondale Moore for 8 yards (tackle by Nathan Landman),0.610,1.140
4,2:12,2,2,ARI 33,23,22,James Conner up the middle for 9 yards (tackle by Jessie Bates),1.140,1.730
4,2:00,1,10,ARI 42,23,22,Kyler Murray pass incomplete deep left intended for Michael Wilson,1.730,1.190
4,1:56,2,10,ARI 42,23,22,Kyler Murray pass incomplete deep right intended for Rondale Moore,1.190,0.500
4,1:50,3,10,ARI 42,23,22,Kyler Murray scrambles right end for 13 yards (tackle by Nathan Landman),0.500,2.590
4,1:06,1,10,ATL 45,23,22,Kyler Murray left tackle for 3 yards (tackle by Clark Phillips),2.590,2.450
4,0:57,,,,,,Timeout #1 by Arizona Cardinals,,
4,0:57,2,7,ATL 42,23,22,Kyler Murray pass complete deep right to Trey McBride for 33 yards (tackle by Jessie Bates),2.450,5.140
4,0:47,,,,,,Timeout #1 by Atlanta Falcons,,
4,0:47,1,9,ATL 9,23,22,James Conner up the middle for 7 yards (tackle by Jessie Bates),5.140,5.720
4,0:42,,,,,,Timeout #2 by Atlanta Falcons,,
4,0:42,2,2,ATL 2,23,22,James Conner left tackle for -1 yards,5.720,4.720
4,0:39,,,,,,Timeout #3 by Atlanta Falcons,,
4,0:39,3,3,ATL 3,23,22,Kyler Murray kneels for -2 yards,4.720,3.010
4,0:02,,,,,,Timeout #2 by Arizona Cardinals,,
4,0:02,4,5,ATL 5,23,25,Matt Prater 23 yard field goal good,3.010,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
