Quarter,Time,Down,ToGo,Location,TEN,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Nick Folk kicks off 69 yards, returned by Pierre Strong for 26 yards (tackle by Luke Gifford and Monty Rice)",0.000,0.410
1,14:54,1,10,CLE 22,0,0,Deshaun Watson pass complete short right to Donovan Peoples-Jones for 8 yards (tackle by Sean Murphy-Bunting),0.410,0.950
1,14:11,2,2,CLE 30,0,0,Deshaun Watson sacked by Azeez Al-Shaair for -2 yards,0.950,-0.030
1,13:39,3,4,CLE 28,0,0,Deshaun Watson pass complete short left to Elijah Moore for 10 yards (tackle by Amani Hooker),-0.030,1.470
1,13:02,1,10,CLE 38,0,0,Elijah Moore left end for 2 yards (tackle by Amani Hooker),1.470,1.190
1,12:27,2,8,CLE 40,0,0,Deshaun Watson pass complete short right to David Njoku for 2 yards (tackle by Jack Gibbens),1.190,0.760
1,11:47,3,6,CLE 42,0,0,Deshaun Watson pass complete short right to Elijah Moore for 7 yards (tackle by Roger McCreary),0.760,2.190
1,11:12,1,10,CLE 49,0,0,Kareem Hunt right guard for 1 yard (tackle by Jeffery Simmons),2.190,1.780
1,10:41,2,9,CLE 50,0,0,Deshaun Watson pass complete short right to Elijah Moore for 14 yards (tackle by Jeffery Simmons),1.780,3.180
1,9:56,1,10,TEN 36,0,0,Pierre Strong left tackle for 5 yards (tackle by Arden Key and Jack Gibbens),3.180,3.310
1,9:18,2,5,TEN 31,0,0,Marquise Goodwin left end for 1 yard (tackle by Kristian Fulton),3.310,2.740
1,8:35,3,4,TEN 30,0,0,Deshaun Watson left end for no gain (tackle by Kristian Fulton and Elijah Molden),2.740,1.460
1,7:54,4,4,TEN 30,0,3,Dustin Hopkins 48 yard field goal good,1.460,3.000
1,7:49,,,CLE 35,0,3,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
1,7:49,1,10,TEN 25,0,3,Ryan Tannehill pass complete short right to Treylon Burks for 5 yards (tackle by Denzel Ward),0.610,0.740
1,7:10,2,5,TEN 30,0,3,Derrick Henry right guard for 2 yards (tackle by Grant Delpit),0.740,0.300
1,6:29,3,3,TEN 32,0,3,Ryan Tannehill pass incomplete short left intended for DeAndre Hopkins,0.300,-1.240
1,6:24,4,3,TEN 32,0,3,Ryan Stonehouse punts 49 yards out of bounds,-1.240,-0.150
1,6:18,1,10,CLE 19,0,3,Deshaun Watson pass complete short right to Amari Cooper for 7 yards (tackle by Roger McCreary),0.150,0.610
1,5:46,2,3,CLE 26,0,3,Jerome Ford left guard for no gain (tackle by Azeez Al-Shaair and Roger McCreary),0.610,-0.160
1,5:11,3,3,CLE 26,0,3,Deshaun Watson pass incomplete short middle intended for Jerome Ford,-0.160,-1.630
1,5:05,4,3,CLE 26,0,3,"Corey Bojorquez punts 48 yards, returned by Mason Kinsey for 13 yards (tackle by Anthony Walker)",-1.630,-1.530
1,4:55,1,10,TEN 39,0,3,Ryan Tannehill pass incomplete short middle intended for Treylon Burks,1.530,0.990
1,4:51,2,10,TEN 39,0,3,Ryan Tannehill pass complete short right to Tyjae Spears for -2 yards (tackle by Ogbonnia Okoronkwo),0.990,0.040
1,4:10,3,12,TEN 37,0,3,Ryan Tannehill pass complete short left to Chigoziem Okonkwo for 6 yards (tackle by Martin Emerson),0.040,-0.520
1,3:35,4,6,TEN 43,0,3,Ryan Stonehouse punts 45 yards out of bounds,-0.520,0.350
1,3:30,1,10,CLE 12,0,3,Elijah Moore right end for 1 yard (tackle by Sean Murphy-Bunting),-0.350,-0.700
1,2:50,2,9,CLE 13,0,3,Deshaun Watson pass complete short left to Amari Cooper for 13 yards (tackle by Kristian Fulton and Roger McCreary),-0.700,0.670
1,2:09,1,10,CLE 26,0,3,Deshaun Watson pass complete short right to Elijah Moore for 2 yards (tackle by Sean Murphy-Bunting),0.670,0.400
1,1:31,2,8,CLE 28,0,3,"Deshaun Watson pass complete short right to Elijah Moore for no gain. Elijah Moore fumbles (forced by Sean Murphy-Bunting), recovered by Sean Murphy-Bunting at CLE-22 and returned for 5 yards (tackle by Wyatt Teller)",0.400,-4.440
1,1:20,1,10,CLE 17,0,3,Derrick Henry right guard for -3 yards (tackle by Myles Garrett),4.440,3.490
1,0:30,2,13,CLE 20,0,3,"Ryan Tannehill sacked by Myles Garrett for -4 yards. Ryan Tannehill fumbles (forced by Myles Garrett), recovered by Derrick Henry at CLE-24",3.490,2.280
Quarter,Time,Down,ToGo,Location,TEN,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,17,CLE 24,0,3,Ryan Tannehill pass complete short right to Chigoziem Okonkwo for -2 yards (tackle by Denzel Ward),2.280,1.740
2,14:16,4,19,CLE 26,3,3,Nick Folk 44 yard field goal good,1.740,3.000
2,14:14,,,TEN 35,3,3,"Nick Folk kicks off 65 yards, touchback.",0.000,0.610
2,14:14,1,10,CLE 25,3,3,Deshaun Watson pass complete short left to David Njoku for 7 yards (tackle by Amani Hooker),0.610,1.010
2,13:39,2,3,CLE 32,3,3,Kareem Hunt right guard for 4 yards (tackle by Azeez Al-Shaair and Jack Gibbens),1.010,1.330
2,12:57,1,10,CLE 36,3,3,Deshaun Watson pass complete short right to Amari Cooper for 5 yards (tackle by Sean Murphy-Bunting),1.330,1.470
2,12:18,2,5,CLE 41,3,3,Deshaun Watson pass incomplete deep left,1.470,0.760
2,12:08,3,5,CLE 41,3,3,"Deshaun Watson pass incomplete short right intended for Amari Cooper. Penalty on Sean Murphy-Bunting: Defensive Pass Interference, 8 yards (accepted) (no play)",0.760,2.190
2,12:05,1,10,CLE 49,3,3,"Deshaun Watson sacked by Denico Autry for -16 yards. Deshaun Watson fumbles (forced by Denico Autry), recovered by Elijah Moore at CLE-32 and returned for 1 yard (tackle by Elijah Molden)",2.190,-0.510
2,11:09,2,26,CLE 33,3,3,"Deshaun Watson pass incomplete short left intended for Amari Cooper. Penalty on Kristian Fulton: Defensive Pass Interference, 37 yards (accepted) . Penalty on Arden Key: Roughing the Passer, 15 yards (declined) (no play)",-0.510,3.580
2,11:09,1,10,TEN 30,3,3,Deshaun Watson pass incomplete deep left,3.580,3.030
2,11:05,2,10,TEN 30,3,3,Deshaun Watson pass complete short middle to Elijah Moore for 9 yards (tackle by Amani Hooker),3.030,3.530
2,10:28,3,1,TEN 21,3,3,Harrison Bryant right guard for 2 yards (tackle by Teair Tart),3.530,4.310
2,9:44,1,10,TEN 19,3,9,"Deshaun Watson pass complete deep left to Jerome Ford for 19 yards, touchdown",4.310,7.000
2,9:39,,,TEN 15,3,10,Dustin Hopkins kicks extra point good,0.000,0.000
2,9:39,,,CLE 35,3,10,"Dustin Hopkins kicks off 66 yards, returned by Tyjae Spears for 21 yards (tackle by Jeremiah Owusu-Koramoah and Mohamoud Diabate)",0.000,0.280
2,9:35,1,10,TEN 20,3,10,Ryan Tannehill pass incomplete short left,0.280,-0.270
2,9:29,2,10,TEN 20,3,10,Ryan Tannehill pass complete short right to DeAndre Hopkins for 17 yards (tackle by Anthony Walker),-0.270,1.400
2,8:47,1,10,TEN 37,3,10,Tyjae Spears left guard for 5 yards (tackle by Rodney McLeod),1.400,1.530
2,8:07,2,5,TEN 42,3,10,Ryan Tannehill pass complete short right to Chigoziem Okonkwo for 3 yards (tackle by Grant Delpit),1.530,1.220
2,7:34,3,2,TEN 45,3,10,"Ryan Tannehill pass complete short left to Treylon Burks for no gain (tackle by Grant Delpit). Penalty on Andre Dillard: Offensive Holding, 10 yards (accepted) (no play)",1.220,-0.100
2,7:11,3,12,TEN 35,3,10,"Penalty on Andre Dillard: False Start, 5 yards (accepted) (no play)",-0.100,-0.760
2,6:40,3,17,TEN 30,3,10,"Penalty on Myles Garrett: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.760,-0.100
2,6:19,3,12,TEN 35,3,10,"Ryan Tannehill pass incomplete short left intended for Treylon Burks. Penalty on Martin Emerson: Defensive Pass Interference, 26 yards (accepted) (no play)",-0.100,2.980
2,6:14,1,10,CLE 39,3,10,Derrick Henry left tackle for -3 yards (tackle by Jeremiah Owusu-Koramoah),2.980,2.040
2,5:39,2,13,CLE 42,3,10,"Penalty on Jordan Elliott: Encroachment, 5 yards (accepted) (no play)",2.040,2.710
2,5:17,2,8,CLE 37,3,10,Derrick Henry right guard for -3 yards (tackle by Maurice Hurst),2.710,1.620
2,4:33,3,11,CLE 40,3,10,Ryan Tannehill sacked by and Ogbonnia Okoronkwo for -8 yards and Myles Garrett for -8 yards,1.620,0.070
2,3:57,4,19,CLE 48,3,10,"Ryan Stonehouse punts 48 yards, touchback.",0.070,-0.280
2,3:49,1,10,CLE 20,3,10,Deshaun Watson pass complete short left to Jerome Ford for 14 yards (tackle by Amani Hooker),0.280,1.200
2,3:17,1,10,CLE 34,3,10,Jerome Ford left tackle for 1 yard (tackle by Amani Hooker and Arden Key),1.200,0.790
2,2:41,2,9,CLE 35,3,10,Deshaun Watson pass complete deep left to Amari Cooper for 25 yards (tackle by Kristian Fulton),0.790,2.920
2,2:04,,,,,,Timeout #1 by Cleveland Browns,,
2,2:04,1,10,TEN 40,3,10,Deshaun Watson pass incomplete deep right intended for Amari Cooper,2.920,2.370
2,1:58,2,10,TEN 40,3,10,Jerome Ford left guard for 2 yards (tackle by Amani Hooker),2.370,1.950
2,1:19,3,8,TEN 38,3,10,Deshaun Watson pass complete short right to David Njoku for 4 yards (tackle by Roger McCreary),1.950,1.080
2,1:05,,,,,,Timeout #1 by Tennessee Titans,,
2,1:05,4,4,TEN 34,3,13,Dustin Hopkins 52 yard field goal good,1.080,3.000
2,1:00,,,CLE 35,3,13,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,1:00,1,10,TEN 25,3,13,"Ryan Tannehill pass incomplete deep left intended for DeAndre Hopkins (defended by Martin Emerson) Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",0.610,0.060
2,0:55,2,10,TEN 25,3,13,Ryan Tannehill pass incomplete deep right intended for Treylon Burks (defended by Denzel Ward),0.060,-0.620
2,0:50,3,10,TEN 25,3,13,Ryan Tannehill pass complete deep left to DeAndre Hopkins for 26 yards,-0.620,2.320
2,0:45,1,10,CLE 49,3,13,Ryan Tannehill pass incomplete deep left intended for DeAndre Hopkins,2.320,1.780
2,0:40,2,10,CLE 49,3,13,Ryan Tannehill pass complete short left to Tyjae Spears for 5 yards (tackle by Martin Emerson),1.780,1.750
2,0:34,3,5,CLE 44,3,13,Ryan Tannehill pass complete short left to Tyjae Spears for no gain (tackle by Jeremiah Owusu-Koramoah),1.750,0.330
2,0:29,4,5,CLE 44,3,13,Ryan Tannehill pass complete deep right to Chris Moore for 33 yards (tackle by Cameron Mitchell),0.330,4.840
2,0:22,,,,,,Timeout #2 by Tennessee Titans,,
2,0:22,1,10,CLE 11,3,13,Ryan Tannehill pass incomplete short right intended for DeAndre Hopkins (defended by Anthony Walker),4.840,4.140
2,0:19,2,10,CLE 11,3,13,Ryan Tannehill pass complete short left to Tyjae Spears for no gain (tackle by Juan Thornhill),4.140,3.130
2,0:13,,,,,,Timeout #3 by Tennessee Titans,,
2,0:13,,,,,,Timeout #2 by Cleveland Browns,,
2,0:13,3,10,CLE 11,3,13,Ryan Tannehill sacked by Myles Garrett for -9 yards,3.130,2.120
Quarter,Time,Down,ToGo,Location,TEN,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,3,13,"Dustin Hopkins kicks off 64 yards,",0.000,0.610
3,15:00,1,10,TEN 25,3,13,Derrick Henry right guard for 9 yards (tackle by Juan Thornhill),0.610,1.280
3,14:22,2,1,TEN 34,3,13,Tyjae Spears left guard for -1 yards (tackle by Martin Emerson and Jeremiah Owusu-Koramoah),1.280,0.430
3,13:43,3,2,TEN 33,3,13,Ryan Tannehill pass complete short left to DeAndre Hopkins for 5 yards (tackle by Jeremiah Owusu-Koramoah),0.430,1.470
3,13:09,1,10,TEN 38,3,13,Derrick Henry left guard for 1 yard (tackle by Jeremiah Owusu-Koramoah and Za'Darius Smith),1.470,1.060
3,12:30,2,9,TEN 39,3,13,Derrick Henry left guard for 1 yard (tackle by Anthony Walker and Dalvin Tomlinson),1.060,0.500
3,12:04,3,8,TEN 40,3,13,"Penalty on TEN: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",0.500,-0.160
3,11:42,3,13,TEN 35,3,13,Ryan Tannehill pass incomplete deep right intended for Treylon Burks,-0.160,-1.040
3,11:34,4,13,TEN 35,3,13,"Ryan Stonehouse punts 48 yards, returned by Donovan Peoples-Jones for -2 yards (tackle by Chance Campbell and Luke Gifford)",-1.040,0.220
3,11:23,1,10,CLE 15,3,13,Jerome Ford left tackle for 9 yards (tackle by Amani Hooker),-0.220,0.620
3,10:45,2,1,CLE 24,3,13,"Deshaun Watson pass complete deep right to Donovan Peoples-Jones for 29 yards (tackle by Roger McCreary) Penalty on TEN: Illegal Use of Hands / Defense, 5 yards (declined)",0.620,2.460
3,10:20,1,10,TEN 47,3,13,Deshaun Watson pass incomplete short left intended for Kareem Hunt,2.460,1.910
3,10:17,2,10,TEN 47,3,13,Jerome Ford right tackle for 8 yards (tackle by Jack Gibbens),1.910,2.280
3,9:40,3,2,TEN 39,3,13,Jerome Ford right guard for no gain (tackle by Azeez Al-Shaair and Harold Landry),2.280,0.660
3,9:02,4,2,TEN 39,3,13,"Deshaun Watson pass incomplete intended for Amari Cooper. Penalty on Sean Murphy-Bunting: Defensive Holding, 5 yards (accepted) (no play)",0.660,3.310
3,8:56,1,10,TEN 34,3,13,Elijah Moore left end for -4 yards (tackle by Kristian Fulton),3.310,2.230
3,8:20,2,14,TEN 38,3,13,Deshaun Watson pass complete short left to Amari Cooper for 9 yards (tackle by Kristian Fulton and Azeez Al-Shaair),2.230,2.740
3,7:41,3,5,TEN 29,3,13,Deshaun Watson pass complete short middle to Donovan Peoples-Jones for 12 yards (tackle by Amani Hooker and Kevin Byard),2.740,4.440
3,7:01,1,10,TEN 17,3,13,Deshaun Watson scrambles right end for 4 yards (tackle by Teair Tart),4.440,4.500
3,6:41,2,6,TEN 13,3,13,Deshaun Watson right guard for 10 yards (tackle by Jack Gibbens and Roger McCreary),4.500,6.510
3,5:53,1,3,TEN 3,3,19,"Jerome Ford left tackle for 3 yards, touchdown",6.510,7.000
3,5:49,,,TEN 15,3,20,Dustin Hopkins kicks extra point good,0.000,0.000
3,5:49,,,CLE 35,3,20,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,5:49,1,10,TEN 25,3,20,Ryan Tannehill pass incomplete deep left intended for Treylon Burks,0.610,0.060
3,5:44,2,10,TEN 25,3,20,Derrick Henry right tackle for 2 yards (tackle by Denzel Ward and Alex Wright),0.060,-0.360
3,5:00,3,8,TEN 27,3,20,Ryan Tannehill pass incomplete short right intended for Chigoziem Okonkwo,-0.360,-1.570
3,4:56,4,8,TEN 27,3,20,Ryan Stonehouse punts 54 yards out of bounds,-1.570,-0.150
3,4:47,1,10,CLE 19,3,20,Deshaun Watson sacked by Roger McCreary for -8 yards,0.150,-1.360
3,4:08,2,18,CLE 11,3,20,Deshaun Watson pass complete short middle to Kareem Hunt for 9 yards (tackle by Roger McCreary and Azeez Al-Shaair),-1.360,-0.940
3,3:34,3,9,CLE 20,3,20,Deshaun Watson pass complete short middle to Kareem Hunt for 13 yards (tackle by Rashad Weaver and Roger McCreary),-0.940,1.140
3,2:49,1,10,CLE 33,3,20,Jerome Ford left tackle for -2 yards (tackle by Denico Autry and Jaleel Johnson),1.140,0.320
3,2:08,2,12,CLE 31,3,20,Deshaun Watson pass complete short left to Amari Cooper for 14 yards (tackle by Kristian Fulton),0.320,1.930
3,1:38,1,10,CLE 45,3,20,Deshaun Watson pass complete short left to Elijah Moore for 5 yards (tackle by Kristian Fulton),1.930,2.060
3,1:08,2,5,CLE 50,3,20,Deshaun Watson pass complete short right to Elijah Moore for 2 yards (tackle by Kevin Byard),2.060,1.620
3,0:22,3,3,TEN 48,3,20,Deshaun Watson pass incomplete short right intended for Donovan Peoples-Jones,1.620,0.070
3,0:19,4,3,TEN 48,3,20,"Corey Bojorquez punts 38 yards, fair catch by Mason Kinsey at TEN-10",0.070,0.380
3,0:11,1,10,TEN 10,3,20,Derrick Henry left guard for 8 yards (tackle by Sione Takitaki),-0.380,0.070
Quarter,Time,Down,ToGo,Location,TEN,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,2,TEN 18,3,20,Ryan Tannehill sacked by Alex Wright for -10 yards,0.070,-1.650
4,14:14,,,,,,Timeout #1 by Tennessee Titans,,
4,14:14,3,12,TEN 8,3,20,Ryan Tannehill sacked by Myles Garrett for -5 yards,-1.650,-2.490
4,13:33,4,17,TEN 3,3,20,"Ryan Stonehouse punts 74 yards, recovered by Donovan Peoples-Jones at CLE-23 (tackle by Jack Gibbens)",-2.490,-1.330
4,13:19,1,10,CLE 36,3,20,Kareem Hunt left guard for 4 yards (tackle by Rashad Weaver and Azeez Al-Shaair),1.330,1.330
4,12:43,2,6,CLE 40,3,20,Kareem Hunt left guard for 5 yards (tackle by Jack Gibbens),1.330,1.290
4,11:59,3,1,CLE 45,3,20,Harrison Bryant right guard for 2 yards (tackle by Harold Landry and Azeez Al-Shaair),1.290,2.060
4,11:18,1,10,CLE 47,3,20,Kareem Hunt left tackle for -1 yards (tackle by Azeez Al-Shaair and Amani Hooker),2.060,1.520
4,10:37,2,9,CLE 46,3,20,"Deshaun Watson pass incomplete short left intended for Amari Cooper. Penalty on Kristian Fulton: Defensive Holding, 5 yards (accepted) (no play)",1.520,2.320
4,10:31,1,10,TEN 49,3,20,Jerome Ford right end for 2 yards (tackle by Sean Murphy-Bunting),2.320,2.050
4,9:39,2,8,TEN 47,3,20,Deshaun Watson pass complete short left to Elijah Moore for no gain (tackle by Kristian Fulton),2.050,1.360
4,9:33,3,8,TEN 47,3,20,Deshaun Watson pass complete short left to David Njoku for 7 yards (tackle by Elijah Molden and Amani Hooker),1.360,0.590
4,8:23,4,1,TEN 40,3,20,Deshaun Watson right guard for 2 yards (tackle by Arden Key),0.590,3.050
4,7:38,1,10,TEN 38,3,20,Jerome Ford left guard for -5 yards (tackle by Teair Tart),3.050,1.830
4,6:58,2,15,TEN 43,3,26,"Deshaun Watson pass complete deep left to Amari Cooper for 43 yards, touchdown",1.830,7.000
4,6:51,,,TEN 15,3,27,Dustin Hopkins kicks extra point good,0.000,0.000
4,6:51,,,CLE 35,3,27,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
4,6:51,1,10,TEN 25,3,27,Derrick Henry right guard for 5 yards (tackle by Maurice Hurst and Anthony Walker),0.610,0.740
4,6:16,2,5,TEN 30,3,27,Ryan Tannehill pass complete short left to Chris Moore for 8 yards (tackle by Denzel Ward),0.740,1.470
4,5:47,1,10,TEN 38,3,27,Derrick Henry for 1 yard (tackle by Za'Darius Smith and Anthony Walker),1.470,1.060
4,5:06,2,9,TEN 39,3,27,Ryan Tannehill pass incomplete short left intended for Chris Moore,1.060,0.370
4,5:02,3,9,TEN 39,3,27,"Penalty on Za'Darius Smith: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.370,1.020
4,5:02,3,4,TEN 44,3,27,Ryan Tannehill pass incomplete deep right intended for Treylon Burks (defended by Denzel Ward),1.020,-0.460
4,4:58,4,4,TEN 44,3,27,"Ryan Stonehouse punts 56 yards, touchback.",-0.460,-0.280
4,4:49,1,10,CLE 20,3,27,Pierre Strong right guard for 9 yards (tackle by Chance Campbell),0.280,0.950
4,4:05,2,1,CLE 29,3,27,Pierre Strong right tackle for 4 yards (tackle by Naquan Jones and Jack Gibbens),0.950,1.140
4,3:21,1,10,CLE 33,3,27,Pierre Strong left guard for 3 yards (tackle by Jaleel Johnson),1.140,1.000
4,2:42,2,7,CLE 36,3,27,Pierre Strong left tackle for 6 yards (tackle by Elijah Molden and Matthew Jackson),1.000,1.090
4,2:00,3,1,CLE 42,3,27,Pierre Strong left tackle for no gain (tackle by Kyle Peko and Chance Campbell),1.090,-0.590
4,1:13,4,1,CLE 42,3,27,"Penalty on CLE: Delay of Game, 5 yards (accepted) (no play)",-0.590,-0.910
4,1:13,4,6,CLE 37,3,27,"Corey Bojorquez punts 53 yards out of bounds. Penalty on Monty Rice: Offensive Holding, 5 yards (accepted)",-0.910,0.380
4,1:06,1,10,TEN 5,3,27,Tyjae Spears right guard for 1 yard (tackle by Alex Wright),-0.380,-0.710
4,0:32,2,9,TEN 6,3,27,Tyjae Spears right guard for 1 yard (tackle by Alex Wright and Shelby Harris),-0.710,-1.190
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
